order_id,date,category,area,quantity,price,payment_mode,profit
ORD0031,2026-01-11,Saree,T Nagar,1,3034,UPI,255.97
ORD0032,2026-01-12,Saree,T Nagar,1,1784,UPI,326.52
ORD0033,2026-01-12,Saree,T Nagar,4,1499,UPI,893.2
ORD0034,2026-01-12,Kurta,T Nagar,1,1006,Cash,165.24
ORD0035,2026-01-13,Kurta,Velachery,4,2142,UPI,857.29
ORD0036,2026-01-13,Saree,T Nagar,1,3991,UPI,944.13
ORD0037,2026-01-13,Kurta,T Nagar,1,1286,Cash,345.27
ORD0038,2026-01-14,Kurta,T Nagar,1,1597,Cash,134.87
ORD0039,2026-01-14,Saree,Velachery,3,4460,Cash,2679.67
ORD0040,2026-01-15,Kurta,T Nagar,3,1588,UPI,1108.91
ORD0041,2026-01-15,Saree,Anna Nagar,2,2155,Cash,590.3
ORD0042,2026-01-15,Kurta,T Nagar,1,2447,UPI,581.19
ORD0043,2026-01-16,Kurta,Anna Nagar,1,2421,UPI,499.87
ORD0044,2026-01-16,Saree,T Nagar,3,3673,UPI,2929.21
ORD0045,2026-01-16,Saree,Anna Nagar,1,2116,UPI,584.44
ORD0046,2026-01-17,Kurta,Anna Nagar,3,1415,UPI,375.55
ORD0047,2026-01-17,Saree,Anna Nagar,3,2694,UPI,1365.76
ORD0048,2026-01-17,Kurta,Anna Nagar,4,1752,Cash,1327.3
ORD0049,2026-01-18,Kurta,Anna Nagar,2,1546,UPI,338.11
ORD0050,2026-01-18,Kurta,Velachery,1,930,UPI,136.95
ORD0051,2026-01-19,Kurta,Anna Nagar,2,1878,UPI,1042.4
ORD0052,2026-01-19,Saree,T Nagar,4,2198,UPI,731.9
ORD0053,2026-01-19,Saree,Velachery,3,2391,UPI,1223.01
ORD0054,2026-01-20,Saree,Velachery,3,4326,UPI,3225.43
ORD0055,2026-01-20,Saree,Anna Nagar,2,3557,UPI,1029.97
ORD0056,2026-01-20,Saree,Velachery,1,2408,Cash,423.71
ORD0057,2026-01-21,Kurta,T Nagar,4,2137,Cash,2355.91
ORD0058,2026-01-21,Saree,Velachery,4,3637,UPI,2545.54
ORD0059,2026-01-21,Kurta,T Nagar,4,755,UPI,320.68
ORD0060,2026-01-22,Kurta,T Nagar,4,1760,Cash,636.02
ORD0061,2026-01-22,Kurta,Velachery,2,1739,Cash,935.87
ORD0062,2026-01-23,Kurta,T Nagar,2,1345,UPI,358.21
ORD0063,2026-01-23,Saree,T Nagar,1,1693,Cash,306.12
ORD0064,2026-01-23,Kurta,T Nagar,4,1435,Cash,563.33
ORD0065,2026-01-24,Saree,T Nagar,3,3145,Cash,1554.24
ORD0066,2026-01-24,Saree,T Nagar,2,2879,UPI,1531.75
ORD0067,2026-01-24,Kurta,T Nagar,4,2141,UPI,1545.65
ORD0068,2026-01-25,Saree,Velachery,3,4193,UPI,3449.5
ORD0069,2026-01-25,Saree,T Nagar,4,2290,UPI,1206.99
ORD0070,2026-01-25,Saree,Anna Nagar,4,2583,UPI,1869.15
ORD0071,2026-01-26,Kurta,Anna Nagar,1,2143,UPI,539.83
ORD0072,2026-01-26,Saree,Velachery,2,3335,UPI,1131.57
ORD0073,2026-01-26,Saree,T Nagar,3,2528,UPI,1030.65
ORD0074,2026-01-27,Saree,Velachery,4,2329,Cash,2339.2
ORD0075,2026-01-27,Kurta,Anna Nagar,1,2091,UPI,330.33
ORD0076,2026-01-28,Saree,Velachery,2,2546,UPI,947.85
ORD0077,2026-01-28,Saree,Anna Nagar,3,2732,Cash,2256.4
ORD0078,2026-01-28,Saree,Velachery,4,2652,Cash,1244.28
ORD0079,2026-01-29,Kurta,Velachery,1,2444,Cash,342.84
ORD0080,2026-01-29,Kurta,T Nagar,3,1722,Cash,445.38
ORD0081,2026-01-29,Kurta,Velachery,2,1390,Cash,440.26
ORD0082,2026-01-30,Saree,T Nagar,1,1502,UPI,180.3
ORD0083,2026-01-30,Saree,Velachery,3,2272,UPI,1472.3
ORD0084,2026-01-30,Kurta,Anna Nagar,2,1885,UPI,438.32
ORD0085,2026-01-31,Kurta,T Nagar,3,1330,UPI,857.7
ORD0086,2026-01-31,Kurta,Velachery,2,1697,Cash,450.37
ORD0087,2026-02-01,Saree,T Nagar,4,3619,UPI,2186.51
ORD0088,2026-02-01,Saree,Velachery,1,3387,UPI,507.28
ORD0089,2026-02-01,Kurta,T Nagar,4,2446,UPI,2185.26
ORD0090,2026-02-02,Kurta,Anna Nagar,1,1322,UPI,229.11
ORD0091,2026-02-02,Saree,T Nagar,3,4128,UPI,1885.59
ORD0092,2026-02-02,Kurta,Anna Nagar,2,1381,UPI,691.95
ORD0093,2026-02-03,Kurta,Anna Nagar,2,1657,Cash,644.21
ORD0094,2026-02-03,Saree,Velachery,1,1852,UPI,227.36
ORD0095,2026-02-03,Kurta,Anna Nagar,3,1250,Cash,975.07
ORD0096,2026-02-04,Saree,Anna Nagar,1,3767,UPI,559.51
ORD0097,2026-02-04,Saree,Anna Nagar,3,4301,UPI,1132.83
ORD0098,2026-02-04,Kurta,T Nagar,3,2001,UPI,1074.06
ORD0099,2026-02-05,Kurta,Velachery,4,2443,Cash,1023.98
ORD0100,2026-02-05,Saree,T Nagar,3,2014,UPI,771.52
ORD0101,2026-02-06,Kurta,Velachery,2,2253,Cash,1033.78
ORD0102,2026-02-06,Saree,T Nagar,3,3403,UPI,1083.69
ORD0103,2026-02-06,Kurta,Velachery,4,2104,UPI,2031.53
ORD0104,2026-02-07,Saree,Velachery,2,1626,Cash,869.52
ORD0105,2026-02-07,Kurta,Velachery,1,2064,UPI,415.5
ORD0106,2026-02-07,Kurta,Velachery,4,2059,UPI,1828.98
ORD0107,2026-02-08,Kurta,Anna Nagar,1,1658,Cash,369.27
ORD0108,2026-02-08,Kurta,Anna Nagar,3,1163,UPI,971.9
ORD0109,2026-02-08,Saree,Velachery,1,2125,UPI,315.15
ORD0110,2026-02-09,Kurta,Velachery,1,2188,UPI,246.31
ORD0111,2026-02-09,Saree,Anna Nagar,4,2127,UPI,1564.05
ORD0112,2026-02-10,Kurta,T Nagar,1,2369,Cash,442.17
ORD0113,2026-02-10,Kurta,T Nagar,3,1026,Cash,355.76
ORD0114,2026-02-10,Saree,T Nagar,3,4204,UPI,2555.47
ORD0115,2026-02-11,Kurta,Velachery,1,888,Cash,73.55
ORD0116,2026-02-11,Kurta,T Nagar,1,1904,UPI,505.58
ORD0117,2026-02-11,Saree,Anna Nagar,4,4369,UPI,2322.82
ORD0118,2026-02-12,Saree,Velachery,3,2988,UPI,788.04
ORD0119,2026-02-12,Saree,T Nagar,1,3001,Cash,305.05
ORD0120,2026-02-12,Saree,Anna Nagar,4,3514,UPI,1799.87
ORD0121,2026-02-13,Saree,Anna Nagar,2,3738,UPI,1007.62
ORD0122,2026-02-13,Kurta,T Nagar,1,1406,UPI,121.71
ORD0123,2026-02-14,Kurta,T Nagar,4,887,Cash,482.07
ORD0124,2026-02-14,Saree,T Nagar,1,3213,UPI,381.02
ORD0125,2026-02-14,Kurta,T Nagar,3,2358,UPI,1101.59
ORD0126,2026-02-15,Kurta,T Nagar,4,1742,Cash,1094.21
ORD0127,2026-02-15,Saree,Anna Nagar,3,2215,UPI,982.14
ORD0128,2026-02-15,Kurta,T Nagar,3,708,UPI,309.22
ORD0129,2026-02-16,Kurta,T Nagar,2,1809,UPI,354.37
ORD0130,2026-02-16,Kurta,Velachery,1,769,UPI,65.4
ORD0131,2026-02-16,Kurta,Velachery,3,2384,UPI,861.26
ORD0132,2026-02-17,Kurta,Anna Nagar,4,1924,Cash,1780.31
ORD0133,2026-02-17,Saree,Anna Nagar,1,2914,UPI,810.56
ORD0134,2026-02-17,Kurta,Velachery,4,1712,UPI,1819.55
ORD0135,2026-02-18,Kurta,T Nagar,2,849,Cash,307.07
ORD0136,2026-02-18,Saree,Anna Nagar,3,3461,UPI,1935.03
ORD0137,2026-02-19,Kurta,Velachery,1,1304,UPI,186.36
ORD0138,2026-02-19,Saree,Anna Nagar,3,1276,Cash,898.77
ORD0139,2026-02-19,Saree,T Nagar,1,2979,UPI,693.96
ORD0140,2026-02-20,Saree,Anna Nagar,2,2520,Cash,1254.23
ORD0141,2026-02-20,Kurta,Velachery,3,1131,Cash,879.13
ORD0142,2026-02-20,Saree,T Nagar,1,4087,UPI,682.0
ORD0143,2026-02-21,Saree,Velachery,2,4376,UPI,2042.5
ORD0144,2026-02-21,Saree,Velachery,3,3213,UPI,2325.7
ORD0145,2026-02-21,Kurta,T Nagar,1,1513,UPI,214.38
ORD0146,2026-02-22,Kurta,Velachery,2,709,UPI,376.97
ORD0147,2026-02-22,Saree,Anna Nagar,2,1782,UPI,352.37
ORD0148,2026-02-23,Saree,T Nagar,3,4288,Cash,3587.18
ORD0149,2026-02-23,Kurta,Velachery,4,2385,Cash,2232.53
ORD0150,2026-02-23,Saree,T Nagar,4,4018,Cash,1585.57
ORD0151,2026-02-24,Kurta,T Nagar,1,2285,UPI,482.7
ORD0152,2026-02-24,Saree,Anna Nagar,1,2263,UPI,196.51
ORD0153,2026-02-24,Kurta,Anna Nagar,1,2479,UPI,580.18
ORD0154,2026-02-25,Saree,T Nagar,3,2997,UPI,2156.44
ORD0155,2026-02-25,Saree,Anna Nagar,1,3525,Cash,706.7
ORD0156,2026-02-25,Kurta,Anna Nagar,1,1717,UPI,431.61
ORD0157,2026-02-26,Saree,T Nagar,4,2661,UPI,1059.89
ORD0158,2026-02-26,Kurta,Anna Nagar,4,1186,Cash,641.32
ORD0159,2026-02-26,Kurta,T Nagar,4,1909,UPI,1243.41
ORD0160,2026-02-27,Kurta,Anna Nagar,2,989,UPI,175.04
ORD0161,2026-02-27,Kurta,Velachery,3,1482,UPI,754.23
ORD0162,2026-02-28,Kurta,Velachery,3,2094,UPI,835.77
ORD0163,2026-02-28,Saree,T Nagar,1,2529,Cash,400.97
ORD0164,2026-02-28,Saree,Anna Nagar,3,4211,UPI,2084.7
ORD0165,2026-03-01,Saree,T Nagar,3,4349,Cash,3338.5
ORD0166,2026-03-01,Kurta,T Nagar,2,1665,Cash,446.45
ORD0167,2026-03-01,Saree,T Nagar,4,2242,Cash,2320.46
ORD0168,2026-03-02,Saree,Anna Nagar,3,3982,UPI,1973.41
ORD0169,2026-03-02,Saree,T Nagar,3,4289,UPI,1872.94
ORD0170,2026-03-02,Saree,Anna Nagar,3,4428,Cash,2397.79
ORD0171,2026-03-03,Saree,Velachery,4,1268,UPI,829.52
ORD0172,2026-03-03,Saree,T Nagar,3,3658,UPI,1442.8
ORD0173,2026-03-04,Kurta,T Nagar,2,2232,Cash,805.91
ORD0174,2026-03-04,Kurta,T Nagar,4,1037,UPI,457.77
ORD0175,2026-03-04,Kurta,Velachery,3,2375,Cash,1071.5
ORD0176,2026-03-05,Saree,Anna Nagar,4,3716,Cash,2871.1
ORD0177,2026-03-05,Kurta,T Nagar,1,2431,Cash,395.48
ORD0178,2026-03-05,Saree,Anna Nagar,2,2786,UPI,1363.93
ORD0179,2026-03-06,Kurta,T Nagar,4,1743,Cash,915.73
ORD0180,2026-03-06,Kurta,Anna Nagar,3,1374,UPI,1129.24
ORD0181,2026-03-06,Kurta,Anna Nagar,4,911,Cash,863.43
ORD0182,2026-03-07,Saree,Anna Nagar,1,1992,Cash,544.85
ORD0183,2026-03-07,Saree,Velachery,1,3200,Cash,792.41
ORD0184,2026-03-08,Kurta,Anna Nagar,4,2159,UPI,936.32
ORD0185,2026-03-08,Saree,T Nagar,2,3291,UPI,1219.59
ORD0186,2026-03-08,Saree,T Nagar,3,2154,UPI,736.64
ORD0187,2026-03-09,Saree,T Nagar,2,2207,UPI,1075.45
ORD0188,2026-03-09,Saree,Velachery,2,2050,UPI,807.01
ORD0189,2026-03-09,Saree,Velachery,4,2723,UPI,1445.26
ORD0190,2026-03-10,Saree,Velachery,1,3133,UPI,833.13
ORD0191,2026-03-10,Kurta,Anna Nagar,4,2012,Cash,829.24
ORD0192,2026-03-10,Kurta,T Nagar,4,1792,Cash,1381.79
ORD0193,2026-03-11,Kurta,Velachery,3,2338,UPI,1572.6
ORD0194,2026-03-11,Saree,T Nagar,2,1922,Cash,352.76
ORD0195,2026-03-11,Kurta,T Nagar,1,2382,UPI,475.38
ORD0196,2026-03-12,Saree,Velachery,3,3892,UPI,2839.37
ORD0197,2026-03-12,Saree,Anna Nagar,2,2159,UPI,403.76
ORD0198,2026-03-13,Saree,Velachery,1,4039,Cash,736.91
ORD0199,2026-03-13,Saree,T Nagar,2,3084,Cash,812.4
ORD0200,2026-03-13,Kurta,Velachery,4,913,Cash,776.36
ORD0201,2026-03-14,Saree,T Nagar,2,2407,Cash,499.38
ORD0202,2026-03-14,Kurta,Anna Nagar,1,2130,Cash,569.58
ORD0203,2026-03-14,Saree,Velachery,3,1329,UPI,1032.42
ORD0204,2026-03-15,Kurta,T Nagar,1,2207,UPI,258.65
ORD0205,2026-03-15,Saree,T Nagar,4,2699,UPI,1561.68
ORD0206,2026-03-15,Saree,T Nagar,4,3831,Cash,3026.9
ORD0207,2026-03-16,Kurta,Anna Nagar,4,1970,UPI,1762.07
ORD0208,2026-03-16,Kurta,Velachery,4,1246,UPI,839.96
ORD0209,2026-03-17,Saree,Anna Nagar,1,1973,Cash,219.51
ORD0210,2026-03-17,Kurta,Velachery,1,2273,UPI,229.19
ORD0211,2026-03-17,Saree,Velachery,2,3509,Cash,1964.71
ORD0212,2026-03-18,Kurta,T Nagar,2,743,UPI,254.21
ORD0213,2026-03-18,Kurta,Anna Nagar,4,2392,Cash,2435.12
ORD0214,2026-03-18,Saree,T Nagar,3,1581,Cash,837.02
ORD0215,2026-03-19,Kurta,Velachery,3,1611,UPI,1278.19
ORD0216,2026-03-19,Saree,Velachery,4,2487,Cash,970.45
ORD0217,2026-03-19,Saree,Velachery,3,2686,UPI,828.39
ORD0218,2026-03-20,Saree,Anna Nagar,2,4495,UPI,2390.68
ORD0219,2026-03-20,Saree,T Nagar,2,2145,UPI,1156.15
ORD0220,2026-03-20,Kurta,Velachery,3,994,Cash,426.26
ORD0221,2026-03-21,Saree,T Nagar,1,4321,UPI,652.61
ORD0222,2026-03-21,Saree,Velachery,3,1708,UPI,873.59
ORD0223,2026-03-22,Kurta,T Nagar,3,904,Cash,442.69
ORD0224,2026-03-22,Saree,T Nagar,3,2595,UPI,918.7
ORD0225,2026-03-22,Kurta,T Nagar,3,2122,UPI,1653.09
ORD0226,2026-03-23,Saree,T Nagar,4,3244,UPI,1695.46
ORD0227,2026-03-23,Kurta,T Nagar,4,945,UPI,835.59
ORD0228,2026-03-23,Kurta,Velachery,3,772,Cash,216.39
ORD0229,2026-03-24,Kurta,Velachery,2,1746,UPI,306.42
ORD0230,2026-03-24,Saree,T Nagar,1,4436,UPI,934.87
ORD0231,2026-03-24,Saree,T Nagar,4,3287,Cash,1943.32
ORD0232,2026-03-25,Kurta,T Nagar,4,1640,UPI,1384.76
ORD0233,2026-03-25,Saree,Velachery,3,4296,Cash,1273.39
ORD0234,2026-03-26,Kurta,T Nagar,4,1085,UPI,1171.67
ORD0235,2026-03-26,Saree,T Nagar,4,3142,Cash,2886.91
ORD0236,2026-03-26,Kurta,T Nagar,4,951,Cash,970.98
ORD0237,2026-03-27,Kurta,Velachery,3,1733,Cash,557.82
ORD0238,2026-03-27,Saree,T Nagar,1,2093,UPI,301.46
ORD0239,2026-03-27,Saree,Velachery,1,2771,UPI,425.82
ORD0240,2026-03-28,Kurta,Velachery,1,1319,Cash,247.23
ORD0241,2026-03-28,Saree,Velachery,2,1937,UPI,539.93
ORD0242,2026-03-28,Kurta,Velachery,3,874,UPI,241.55
ORD0243,2026-03-29,Saree,Velachery,2,2693,UPI,828.24
ORD0244,2026-03-29,Kurta,T Nagar,1,2405,Cash,314.84
ORD0245,2026-03-30,Kurta,Anna Nagar,1,1057,Cash,166.14
ORD0246,2026-03-30,Saree,Velachery,4,3947,UPI,1884.96
ORD0247,2026-03-30,Kurta,T Nagar,4,1104,Cash,584.59
ORD0248,2026-03-31,Saree,Velachery,2,1781,UPI,731.6
ORD0249,2026-03-31,Kurta,T Nagar,4,1446,UPI,911.74
ORD0250,2026-03-31,Saree,Velachery,3,2597,UPI,1161.46
ORD0251,2026-04-01,Saree,Velachery,4,2871,UPI,2144.99
ORD0252,2026-04-01,Saree,Anna Nagar,4,3022,UPI,2833.09
ORD0253,2026-04-01,Saree,Anna Nagar,3,2004,Cash,936.51
ORD0254,2026-04-02,Saree,Velachery,2,2852,Cash,1126.56
ORD0255,2026-04-02,Kurta,Velachery,3,2483,UPI,2035.37
ORD0256,2026-04-02,Saree,Anna Nagar,2,3464,UPI,1277.5
ORD0257,2026-04-03,Kurta,T Nagar,2,2291,UPI,1200.3
ORD0258,2026-04-03,Saree,Anna Nagar,3,3353,Cash,2401.43
ORD0259,2026-04-04,Saree,Velachery,3,1204,Cash,331.38
ORD0260,2026-04-04,Kurta,T Nagar,3,1472,Cash,732.26
ORD0261,2026-04-04,Kurta,T Nagar,2,940,UPI,412.97
ORD0262,2026-04-05,Saree,Anna Nagar,2,4498,UPI,2494.97
ORD0263,2026-04-05,Saree,T Nagar,1,1304,UPI,223.86
ORD0264,2026-04-05,Kurta,T Nagar,3,764,UPI,225.89
ORD0265,2026-04-06,Kurta,T Nagar,3,1068,UPI,616.46
ORD0266,2026-04-06,Kurta,T Nagar,4,1662,UPI,700.12
ORD0267,2026-04-06,Saree,T Nagar,3,3455,Cash,2387.1
ORD0268,2026-04-07,Saree,Velachery,2,3601,UPI,1307.42
ORD0269,2026-04-07,Kurta,T Nagar,1,1561,UPI,350.74
ORD0270,2026-04-08,Kurta,Anna Nagar,1,2425,Cash,615.64
ORD0271,2026-04-08,Saree,Anna Nagar,2,2257,UPI,928.93
ORD0272,2026-04-08,Saree,T Nagar,2,2250,Cash,911.2
ORD0273,2026-04-09,Saree,T Nagar,2,2180,UPI,1006.79
ORD0274,2026-04-09,Kurta,Velachery,2,1970,Cash,979.05
ORD0275,2026-04-09,Saree,T Nagar,4,1786,UPI,1813.22
ORD0276,2026-04-10,Saree,T Nagar,1,2601,UPI,227.03
ORD0277,2026-04-10,Saree,Anna Nagar,2,1892,Cash,723.64
ORD0278,2026-04-10,Kurta,Anna Nagar,1,2325,UPI,286.57
ORD0279,2026-04-11,Saree,Anna Nagar,2,2416,UPI,1218.0
ORD0280,2026-04-11,Saree,T Nagar,3,3418,UPI,2150.05
ORD0281,2026-04-12,Saree,Velachery,1,3718,UPI,609.92
ORD0282,2026-04-12,Saree,Velachery,2,2366,Cash,556.58
ORD0283,2026-04-12,Kurta,T Nagar,1,2071,UPI,306.1
ORD0284,2026-04-13,Saree,Velachery,4,3798,UPI,3353.72
ORD0285,2026-04-13,Saree,T Nagar,3,3447,UPI,1249.94
ORD0286,2026-04-13,Kurta,T Nagar,1,911,Cash,89.93
ORD0287,2026-04-14,Saree,Velachery,1,4190,UPI,1079.37
ORD0288,2026-04-14,Kurta,T Nagar,1,807,UPI,187.9
ORD0289,2026-04-14,Kurta,T Nagar,2,708,Cash,169.86
ORD0290,2026-04-15,Saree,Anna Nagar,4,2574,UPI,1425.61
ORD0291,2026-04-15,Kurta,Anna Nagar,3,2386,Cash,1964.26
ORD0292,2026-04-15,Saree,Velachery,4,2261,UPI,2004.48
ORD0293,2026-04-16,Kurta,Anna Nagar,2,1999,UPI,808.01
ORD0294,2026-04-16,Saree,Anna Nagar,2,3671,UPI,1039.08
ORD0295,2026-04-17,Kurta,T Nagar,2,824,Cash,230.43
ORD0296,2026-04-17,Kurta,T Nagar,1,2348,UPI,206.4
ORD0297,2026-04-17,Kurta,T Nagar,4,2268,UPI,2047.52
ORD0298,2026-04-18,Saree,T Nagar,1,2821,UPI,250.04
ORD0299,2026-04-18,Saree,Anna Nagar,2,1932,UPI,312.87
ORD0300,2026-04-18,Saree,T Nagar,3,4147,UPI,2810.41
ORD0301,2026-04-19,Saree,Velachery,1,2082,UPI,561.67
ORD0302,2026-04-19,Kurta,T Nagar,2,1501,UPI,694.36
ORD0303,2026-04-19,Saree,T Nagar,2,3080,UPI,1073.86
ORD0304,2026-04-20,Kurta,Anna Nagar,2,813,UPI,288.14
ORD0305,2026-04-20,Kurta,T Nagar,1,1009,UPI,168.73
ORD0306,2026-04-21,Saree,T Nagar,1,1517,UPI,219.86
ORD0307,2026-04-21,Saree,T Nagar,1,2275,UPI,419.38
ORD0308,2026-04-21,Kurta,Velachery,2,1259,UPI,418.57
ORD0309,2026-04-22,Saree,Velachery,1,2215,UPI,442.19
ORD0310,2026-04-22,Saree,Velachery,4,2961,UPI,3074.99
ORD0311,2026-04-22,Kurta,T Nagar,1,1624,UPI,453.1
ORD0312,2026-04-23,Kurta,T Nagar,3,1214,UPI,348.72
ORD0313,2026-04-23,Saree,Anna Nagar,3,2883,Cash,1357.35
ORD0314,2026-04-23,Saree,Velachery,2,1374,UPI,319.16
ORD0315,2026-04-24,Saree,Velachery,4,1948,Cash,1172.1
ORD0316,2026-04-24,Kurta,Velachery,1,869,UPI,119.48
ORD0317,2026-04-24,Kurta,Anna Nagar,1,1913,Cash,219.82
ORD0318,2026-04-25,Kurta,T Nagar,2,2261,UPI,1052.79
ORD0319,2026-04-25,Kurta,T Nagar,1,929,UPI,166.53
ORD0320,2026-04-26,Kurta,Velachery,2,1974,UPI,1041.68
ORD0321,2026-04-26,Saree,T Nagar,2,1526,Cash,264.05
ORD0322,2026-04-26,Saree,Anna Nagar,4,1314,UPI,490.89
ORD0323,2026-04-27,Kurta,Velachery,2,928,UPI,298.18
ORD0324,2026-04-27,Kurta,Anna Nagar,4,2456,UPI,943.65
ORD0325,2026-04-27,Kurta,Anna Nagar,4,1814,Cash,961.75
ORD0326,2026-04-28,Saree,Velachery,4,3916,UPI,4342.15
ORD0327,2026-04-28,Saree,Anna Nagar,1,2329,UPI,283.65
ORD0328,2026-04-28,Saree,Velachery,4,1754,UPI,839.28
ORD0329,2026-04-29,Saree,Anna Nagar,3,1286,Cash,751.26
ORD0330,2026-04-29,Kurta,T Nagar,4,928,UPI,666.67
ORD0331,2026-04-30,Kurta,Velachery,2,2361,UPI,925.93
ORD0332,2026-04-30,Saree,Velachery,4,4040,Cash,2510.41
ORD0333,2026-04-30,Saree,T Nagar,3,2085,UPI,1534.68
ORD0334,2026-05-01,Kurta,T Nagar,1,1682,UPI,181.18
ORD0335,2026-05-01,Saree,Anna Nagar,2,3025,UPI,1002.36
ORD0336,2026-05-01,Kurta,Velachery,1,1678,UPI,365.72
ORD0337,2026-05-02,Kurta,T Nagar,4,2437,UPI,2472.55
ORD0338,2026-05-02,Saree,T Nagar,2,3903,UPI,1201.46
ORD0339,2026-05-02,Saree,T Nagar,1,1343,Cash,259.94
ORD0340,2026-05-03,Kurta,T Nagar,3,2449,Cash,689.35
ORD0341,2026-05-03,Kurta,Anna Nagar,2,1488,UPI,339.45
ORD0342,2026-05-04,Saree,T Nagar,1,2501,UPI,234.66
ORD0343,2026-05-04,Kurta,T Nagar,4,2075,UPI,1872.28
ORD0344,2026-05-04,Kurta,Velachery,4,1569,Cash,863.65
ORD0345,2026-05-05,Kurta,T Nagar,3,1521,UPI,1025.53
ORD0346,2026-05-05,Saree,T Nagar,3,2049,UPI,573.39
ORD0347,2026-05-05,Kurta,Velachery,2,2252,UPI,1137.3
ORD0348,2026-05-06,Kurta,Velachery,3,1395,UPI,1034.14
ORD0349,2026-05-06,Saree,Anna Nagar,3,1864,UPI,546.82
ORD0350,2026-05-06,Saree,Velachery,1,2863,Cash,242.64
ORD0351,2026-05-07,Kurta,Velachery,1,1050,UPI,95.82
ORD0352,2026-05-07,Saree,Anna Nagar,2,3675,Cash,1842.84
ORD0353,2026-05-07,Saree,Anna Nagar,2,3557,UPI,903.06
ORD0354,2026-05-08,Saree,Velachery,1,2733,Cash,518.33
ORD0355,2026-05-08,Kurta,Anna Nagar,1,2002,Cash,330.83
ORD0356,2026-05-09,Kurta,Anna Nagar,4,839,Cash,802.44
ORD0357,2026-05-09,Saree,Anna Nagar,2,2558,UPI,909.52
ORD0358,2026-05-09,Kurta,T Nagar,3,2103,UPI,1136.45
ORD0359,2026-05-10,Saree,Velachery,3,3263,UPI,2719.56
ORD0360,2026-05-10,Kurta,T Nagar,3,1502,UPI,495.78
ORD0361,2026-05-10,Kurta,Velachery,3,1048,UPI,773.87
ORD0362,2026-05-11,Kurta,Velachery,2,2375,Cash,429.16
ORD0363,2026-05-11,Saree,Anna Nagar,4,4374,Cash,3071.07
ORD0364,2026-05-11,Kurta,Anna Nagar,2,1801,UPI,926.68
ORD0365,2026-05-12,Saree,T Nagar,4,3707,UPI,3159.0
ORD0366,2026-05-12,Kurta,Velachery,2,763,Cash,331.21
ORD0367,2026-05-13,Saree,Velachery,1,2312,Cash,306.72
ORD0368,2026-05-13,Saree,T Nagar,4,1781,UPI,1166.31
ORD0369,2026-05-13,Saree,T Nagar,1,1735,UPI,266.0
ORD0370,2026-05-14,Kurta,T Nagar,4,1070,Cash,788.76
ORD0371,2026-05-14,Saree,Anna Nagar,1,1344,UPI,231.77
ORD0372,2026-05-14,Kurta,Velachery,1,2456,UPI,357.05
ORD0373,2026-05-15,Saree,Anna Nagar,3,1401,Cash,593.03
ORD0374,2026-05-15,Saree,Velachery,4,2515,Cash,1309.52
ORD0375,2026-05-15,Kurta,Anna Nagar,2,1390,Cash,425.37
ORD0376,2026-05-16,Saree,T Nagar,1,4468,Cash,491.43
ORD0377,2026-05-16,Kurta,Anna Nagar,1,1895,UPI,482.13
